ticker,PER,PBR,ROE
ACN,21.92352,5.314263,0.25509
ADBE,21.600748,12.355838,0.52875
AMD,113.52605,5.8374395,0.05317
AKAM,24.48387,2.5366104,0.10642
APH,46.453335,13.620015,0.34807998
ADI,61.686405,4.073125,0.06573
AAPL,37.319946,55.85654,1.7142199
AMAT,30.946882,10.423149,0.35508
APP,81.309044,158.92053,2.41886
ANET,48.70833,13.598772,0.31736
ADSK,59.56116,22.478382,0.40333998
AVGO,100.06153,6.5895543,0.27083
CDNS,86.99226,17.671728,0.21736
CDW,18.489254,7.5034633,0.43007
CSCO,30.104248,6.55045,0.22418
CTSH,18.685184,2.6171255,0.14501001
GLW,55.10898,6.021573,0.12739
CRWD,34.973091999999994,32.13443,-0.088149995
DDOG,504.69998,15.432678,0.03519
DELL,18.15817,-35.79232,0.20726
EPAM,31.036587,3.0168328,0.10207
FFIV,21.009314,3.9845831,0.20602
FICO,67.56311,-24.482122,0.20726
FSLR,19.755367,3.066311,0.16864
FTNT,35.769547,87.79797,2.28043
IT,20.084791,30.102188,1.0925701
GEN,29.76923,6.803114,0.25027
GDDY,22.110157,189.46904,3.69454
HPE,27.447058,1.2608765,0.05356
HPQ,9.777358,-70.216805,0.20726
IBM,36.747017,10.315211,0.30156
INTC,690.1667,1.8552867,0.0018600001
INTU,46.297596,9.7097025,0.21987
JBL,37.172295,15.632592,0.40381
KEYS,42.01397,6.1317296,0.15826
KLAC,38.16656,32.039574,0.99167997
LRCX,35.11062,19.604692,0.62261003
MCHP,34.973091999999994,5.31197,-0.02854
MU,31.254282,4.9139304,0.17198999
MSFT,34.36415,9.892711,0.32241002
MPWR,24.69303,12.933337,0.64029
MSI,30.023256,26.82069,1.1517
NTAP,20.465967,23.548191,1.25346
NVDA,45.263027,37.287407,1.07359
NXPI,28.17676,5.721493,0.20872
ON,74.986305,2.806604,0.03891
ORCL,50.249424,25.591625,0.69241995
PLTR,413.0909,65.735985,0.19504
PANW,126.64967,15.8792515,0.15324001
PTC,28.58649,5.4209757,0.2085
QCOM,34.82271,8.85338,0.2334
ROP,30.866207,2.4095788,0.081549995
CRM,34.835564,4.1155844,0.12184
SNDK,34.973091999999994,3.5801365,-0.16181
STX,35.83419,-945.0509,0.20726
NOW,103.059105,15.691878,0.16813
SWKS,22.506495,1.7904742,0.0789
SMCI,27.31496,3.1738334,0.12787
SNPS,62.905663,3.1347635,0.065019995
TEL,38.045456,5.4853134,0.14618
TDY,30.295824,2.3219938,0.08127
TER,73.00727,11.617962,0.15767999
TXN,33.249546,9.979225,0.29757
TRMB,57.205475,3.4316707,0.06131
TYL,65.366295,5.6037397,0.091680005
VRSN,29.083916,-11.305726,0.20726
WDC,23.820873,9.8100605,0.29707
WDAY,92.420166,6.5400057,0.073359996
ZBRA,26.667673,3.5857334,0.14286
